,Title,Event start,Event end,Category 1,Category 2,Location,coords
1914,Wedding Ceremony,2014-10-18,2014-10-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1915,Wedding Ceremony,2014-10-18,2014-10-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1916,Wedding Ceremony,2014-10-19,2014-10-20,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1917,Wedding Ceremony,2014-10-24,2014-10-25,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1918,Wedding Ceremony,2014-10-25,2014-10-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1919,Wedding Ceremony,2014-10-25,2014-10-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1920,Wedding Ceremony,2014-10-25,2014-10-26,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1921,Wedding Ceremony,2014-10-25,2014-10-26,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1922,Wedding Ceremony,2014-10-25,2014-10-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1923,Wedding Ceremony,2014-10-26,2014-10-27,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1924,Wedding Ceremony,2014-10-31,2014-11-01,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1925,Wedding Ceremony,2014-10-31,2014-11-01,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1926,Wedding Ceremony,2014-11-01,2014-11-02,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1927,Wedding Ceremony,2014-11-01,2014-11-02,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1928,Wedding Ceremony,2014-11-01,2014-11-02,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1929,Wedding Ceremony,2014-11-02,2014-11-03,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1930,Wedding Ceremony,2014-11-03,2014-11-04,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1931,Wedding Ceremony,2014-11-04,2014-11-05,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1932,Wedding Ceremony,2014-11-07,2014-11-08,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1933,Wedding Ceremony,2014-11-08,2014-11-09,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1934,Wedding Ceremony,2014-11-08,2014-11-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1935,Wedding Ceremony,2014-11-08,2014-11-09,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
1936,Wedding Ceremony,2014-11-08,2014-11-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1937,Wedding Ceremony,2014-11-14,2014-11-15,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
1938,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1939,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1940,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1941,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1942,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
1943,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1944,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1945,Wedding Ceremony,2014-11-15,2014-11-16,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1946,Wedding Ceremony,2014-11-21,2014-11-22,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1947,Wedding Ceremony,2014-11-21,2014-11-22,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1948,Wedding Ceremony,2014-11-22,2014-11-23,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1949,Wedding Ceremony,2014-11-22,2014-11-23,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1950,Wedding Ceremony,2014-11-23,2014-11-24,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1951,Wedding Ceremony,2014-11-23,2014-11-24,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1952,Wedding Ceremony,2014-11-27,2014-11-28,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1953,Wedding Ceremony,2014-11-28,2014-11-29,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1954,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1955,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1956,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Presgrave Place,"-37.814961, 144.9656922"
1957,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1958,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
1959,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1960,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1961,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1962,Wedding Ceremony,2014-11-29,2014-11-30,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1963,Wedding Ceremony,2014-11-30,2014-12-01,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1964,Wedding Ceremony,2014-12-06,2014-12-07,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1965,Wedding Ceremony,2014-12-06,2014-12-07,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1966,Wedding Ceremony,2014-12-06,2014-12-07,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1967,Wedding Ceremony,2014-12-06,2014-12-07,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1968,Wedding Ceremony,2014-12-06,2014-12-07,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1969,Wedding Ceremony,2014-12-11,2014-12-12,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1970,Wedding Ceremony,2014-12-13,2014-12-14,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1971,Wedding Ceremony,2014-12-14,2014-12-15,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1972,Wedding Ceremony,2014-12-15,2014-12-16,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1973,Wedding Ceremony,2014-12-17,2014-12-18,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1974,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1975,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1976,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1977,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1978,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Princes Park,"-37.7836516, 144.96190495814238"
1979,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1980,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1981,Wedding Ceremony,2014-12-20,2014-12-21,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1982,Wedding Ceremony,2014-12-21,2014-12-22,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1983,Wedding Ceremony,2014-12-27,2014-12-28,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1984,Wedding Ceremony,2014-12-27,2014-12-28,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1985,Wedding Ceremony,2014-12-27,2014-12-28,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1986,Wedding Ceremony,2014-12-31,2015-01-01,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1987,Wedding Ceremony,2015-01-03,2015-01-04,Wedding,,Royal Park,"-37.781267650000004, 144.9516677441212"
1988,Wedding Ceremony,2015-01-03,2015-01-04,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1989,Wedding Ceremony,2015-01-03,2015-01-04,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1990,Wedding Ceremony,2015-01-03,2015-01-04,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1991,Wedding Ceremony,2015-01-04,2015-01-05,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1992,Wedding Ceremony,2015-01-08,2015-01-09,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1993,Wedding Ceremony,2015-01-09,2015-01-10,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
1994,Wedding Ceremony,2015-01-10,2015-01-11,Wedding,,Queen Victoria Gardens,"-37.821972450000004, 144.97172632643083"
1995,Wedding Ceremony,2015-01-10,2015-01-11,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1996,Wedding Ceremony,2015-01-11,2015-01-12,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
1997,Wedding Ceremony,2015-01-11,2015-01-12,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
1998,Wedding Ceremony,2015-01-11,2015-01-12,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
1999,Wedding Ceremony,2015-01-16,2015-01-17,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2000,Wedding Ceremony,2015-01-17,2015-01-18,Wedding,,Kings Domain,"-37.8255684, 144.9753018434737"
2001,Wedding Ceremony,2015-01-18,2015-01-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2002,Wedding Ceremony,2015-01-18,2015-01-19,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2003,Wedding Ceremony,2015-01-24,2015-01-25,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2004,Wedding Ceremony,2015-01-25,2015-01-26,Wedding,,Carlton Gardens,"-37.80194335, 144.9719701710172"
2005,Wedding Ceremony,2015-01-25,2015-01-26,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
2006,Wedding Ceremony,2015-01-25,2015-01-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2007,Wedding Ceremony,2015-01-25,2015-01-26,Wedding,,Fitzroy Gardens,"-37.8126834, 144.98050420901842"
2008,Wedding Ceremony,2015-01-29,2015-01-30,Wedding,,Treasury Gardens,"-37.8143952, 144.97602661372298"
