Title,Event start,Event end,Category 1,Category 2,Location
"Promotion -""i Met Fred",2014/05/12,2014/05/12,Promotion,,Bourke St Mall - next to Tourism booth
Winter Warmers,2014/05/26,2014/06/18,Promotion,,"Parliament Station, Melbourne Central Station - Elizabeth Street, Queensbridge Square , Southbank Spillway"
Active Cities,2014/05/28,2014/05/29,Promotion,,"Queensbridge Square , Bourke St Mall - next to Tourism booth"
Asics 'Better Their Best' Campaign,2014/06/07,2014/06/07,Promotion,,Southbank Spillway
Citibank Switch Banking Promotion,2014/06/25,2014/06/25,Promotion,,Collins Street
Hothands Sampling,2014/06/26,2014/06/26,Promotion,,Melbourne Central Station - Swanston Street
Benefit Product Launch,2014/06/27,2014/07/05,Promotion,,Bourke Street
Promotion - Free CPR Lesson,2014/07/02,2014/07/02,Promotion,,Bourke St Mall - next to Tourism booth
Topshop/Topman Store Opening,2014/07/21,2014/07/21,Promotion,,Queensbridge Square
Home At Last,2014/08/06,2014/08/08,Promotion,,Bourke St Mall - next to Tourism booth
Greenpeace Community Awareness,2014/08/16,2014/09/27,Promotion,,Bourke St Mall - next to Tourism booth
The Big Sunday Big Deal Hunt,2014/08/17,2014/08/17,Promotion,,Southbank Spillway
Munich Brauhaus,2014/08/20,2014/08/20,Promotion,,Southbank Spillway
Daffodil Day,2014/08/21,2014/08/25,Promotion,,Southbank Spillway
Bupa Optical New Store Opening,2014/08/21,2014/08/22,Promotion,,Bourke Street
Melbourne Spring Fashion WeekProgram,2014/08/28,2014/08/28,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street"
Big Heart Appeal,2014/08/29,2014/08/29,Promotion,,Southbank Spillway
Lurpak Sampling Activity,2014/08/29,2014/08/29,Promotion,,Parliament Station
Tangible Tarkine,2014/08/30,2014/08/30,Promotion,,Queensbridge Square
EFFM Garden Party,2014/08/31,2014/08/31,Promotion,,Bourke St Mall - next to Tourism booth
Piggy Bank Appeal Launch,2014/09/01,2014/09/01,Promotion,,Bourke St Mall - next to Tourism booth
Girls' Night In,2014/09/02,2014/09/02,Promotion,,"Parliament Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street, Southbank Spillway"
Big Aussie Barbie Campaign,2014/09/03,2014/09/03,Promotion,,"Bourke Street Mall - outfront of Adidas , Bourke St Mall - next to Tourism booth"
Bike Blender,2014/09/04,2014/09/04,Promotion,,Little Collins Street
Voyages Ayers Rock,2014/09/11,2014/09/11,Promotion,,Southbank Spillway
Member Drive,2014/09/12,2014/09/12,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street, Southbank Spillway , Promotional Sites"
Munich Brauhaus Oktoberfest,2014/09/19,2014/09/19,Promotion,,Southbank Spillway
Moon Festival & China National Day,2014/09/20,2014/09/20,Promotion,,City Square
Vegan Easy,2014/09/20,2014/10/25,Promotion,,Bourke St Mall - next to Tourism booth
Escape Room International,2014/09/20,2014/10/04,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street"
TAB Brownlow Competition,2014/09/22,2014/09/22,Promotion,,"Bourke Street, Parliament Station"
1 Cover Umbrella Promotion,2014/09/23,2014/09/23,Promotion,,Flinders St Station
Membership Drive,2014/09/30,2014/09/30,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street, Queensbridge Square , Promotional Sites"
Be Kind To Animals Week,2014/09/30,2014/09/30,Promotion,,Southbank Spillway
Old News,2014/10/01,2014/10/03,Promotion,,Flinders St Station
Game Of Petanque,2014/10/05,2014/10/05,Promotion,,City Square
Giant Tennis Balls,2014/10/06,2014/10/12,Promotion,,"City Square, Southbank Spillway , Bourke St Mall - next to Tourism booth"
Endeavour Gardens,2014/10/07,2014/10/10,Promotion,,"Elizabeth Street, Parliament Station, Queensbridge Square"
Australian Open 2015 Ticket Launch,2014/10/07,2014/10/07,Promotion,,"Flinders St Station, Parliament Station"
Haribo Sampling,2014/10/10,2014/10/17,Promotion,,"Melbourne Central Station - Swanston Street, Queensbridge Square"
David Villa,2014/10/20,2014/10/21,Promotion,,Bourke Street
Invisalign Promotion,2014/10/22,2014/10/23,Promotion,,Parliament Station
Member Drive,2014/10/22,2014/10/22,Promotion,,Flinders St Station
Myer Juicy Couture Promotion,2014/10/23,2014/10/25,Promotion,,Bourke Street
Surf Dive 'n Ski Kombi Tour,2014/10/24,2014/10/24,Promotion,,Bourke St Mall - next to Tourism booth
Medibank Retail Store Opening,2014/10/27,2014/10/28,Promotion,,Roads / Public Access Spaces
Macau 3D Light & Sound Show,2014/10/30,2014/11/06,Promotion,,Queensbridge Square
Audi Etron Activation,2014/10/30,2014/10/30,Promotion,,Promotional Sites
JPG Bench Promotion,2014/10/30,2014/12/05,Promotion,,"Bourke Street, Collins Street"
Oxfam Shop,2014/11/01,2014/11/23,Promotion,,Bourke St Mall - next to Tourism booth
H&M/Alexander Wang,2014/11/04,2014/11/06,Promotion,,Southbank Spillway
Telstra Product Launch,2014/11/05,2014/11/05,Promotion,,Bourke Street
SPC Perfect Fruit Sampling,2014/11/08,2014/11/08,Promotion,,Southbank Spillway
JR/Duty Free Re-opening,2014/11/12,2014/11/12,Promotion,,Swanston Street
Walk To Work Day,2014/11/14,2014/11/14,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street, Evan Walker Bridge"
Com Booking Susan Lengyel,2014/11/14,2014/11/15,Promotion,,"Royal Park, RP - Walmsley House"
Myer Fragrance Launch,2014/11/20,2014/11/22,Promotion,,Bourke Street
Strong Man Competition,2014/11/28,2014/11/28,Promotion,,Queensbridge Square
Mercedes Benz Club Display,2014/11/30,2014/11/30,Promotion,,Southbank Spillway
Wings For Life Media Launch,2014/12/02,2014/12/02,Promotion,,Queensbridge Square
AFC Asian Cup Activation,2014/12/05,2014/12/05,Promotion,,Southbank Spillway
TAC Be On The Ball Media Launch,2014/12/08,2014/12/08,Promotion,,Southbank Spillway
50/50 Vending Machine Challenge,2014/12/09,2014/12/09,Promotion,,Queensbridge Square
Lemon Sorbet,2014/12/12,2014/12/13,Promotion,,Bourke Street
Rise Melbourne 2014,2014/12/25,2014/12/25,Promotion,,Queensbridge Square
Boxing Day Sale,2014/12/25,2014/12/26,Promotion,,Bourke Street
Rise Melbourne Mission,2014/12/26,2014/12/26,Promotion,,Queensbridge Square
Luxottica Revitalisation Station,2014/12/27,2014/12/27,Promotion,,Little Collins Street
Land Rover L550 Launch,2015/01/06,2015/01/11,Promotion,,Queensbridge Square
WAMY,2015/01/09,2015/01/22,Promotion,,"Flinders St Station, Bourke St Mall - next to Tourism booth"
Priceline Kooyong Classic Activation,2015/01/12,2015/01/12,Promotion,,Bourke St Mall - next to Tourism booth
Secure Parking,2015/01/13,2016/01/08,Promotion,,Queen Street
Berlei Runway Bounce (for Myer),2015/01/15,2015/01/15,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
Collabonation With Jess Bush,2015/01/15,2015/01/15,Promotion,,"City Square, Queensbridge Square"
ANZ Rally For Good,2015/01/16,2015/01/16,Promotion,,Southbank Spillway
Bupa,2015/01/22,2015/01/22,Promotion,,Southbank Spillway
Mophotrobo,2015/01/23,2015/01/24,Promotion,,"Bourke St Mall - next to Tourism booth, Evan Walker Bridge"
Disney Lion King,2015/01/26,2015/01/26,Promotion,,Flinders St Station
Heidi Klum Launch,2015/01/27,2015/01/27,Promotion,,Bourke Street
Perfect Fruit Sampling,2015/01/28,2015/01/31,Promotion,,Queensbridge Square
Benefit Cosmetics,2015/01/30,2015/01/30,Promotion,,Bourke Street
Chemmart And Ovarian CancerAustralia,2015/02/01,2015/02/01,Promotion,,Queensbridge Square
Paint Your World Blue,2015/02/07,2015/02/07,Promotion,,Queensbridge Square
Love Locks,2015/02/09,2015/02/16,Promotion,,Queensbridge Square
International Pancake Day,2015/02/17,2015/02/17,Promotion,,Flinders St Station
David Jones Model Casting,2015/02/19,2015/02/19,Promotion,,Bourke Street
ICC Match Promotions,2015/02/24,2015/02/24,Promotion,,Southbank Spillway
QVM Community Engagement Hub,2015/02/26,2015/03/29,Promotion,,Queen Street
Pore Blot Off,2015/02/27,2015/02/28,Promotion,,Bourke Street
Share Our Streets,2015/03/02,2015/03/11,Promotion,,"Southbank Spillway , Promotional Sites"
The Big Bounce,2015/03/04,2015/03/04,Promotion,,City Square
Bank Of Melbourne Food And WineFestival,2015/03/06,2015/03/06,Promotion,,Piazza Italia
John McEnroe,2015/03/06,2015/03/06,Promotion,,Parliament Station
Public event - Sidewalk Astronomy,2015/03/07,2015/04/04,Promotion,,"Bridges, Southbank Spillway , Evan Walker Bridge"
Dirty Dancing,2015/03/08,2015/03/08,Promotion,,Southbank Spillway
Nature's Own,2015/03/11,2015/03/11,Promotion,,Melbourne Central Station - Elizabeth Street
Grand Prix,2015/03/12,2015/03/18,Promotion,,Elizabeth Street
Promotion -Virgin Australia Melbourne FashionFestival VAMFF,2015/03/12,2015/03/20,Promotion,,Bourke St Mall - next to Tourism booth
Stay Cool,2015/03/16,2015/03/19,Promotion,,"Parliament Station, Melbourne Central Station - Swanston Street"
World Water Day,2015/03/17,2015/03/17,Promotion,,Southbank Spillway
World Down Syndrome Day,2015/03/20,2015/03/20,Promotion,,"City Square, Flinders St Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street"
Belvita,2015/03/24,2015/03/26,Promotion,,"Queensbridge Square , Southbank Spillway"
Vodafone,2015/03/26,2015/03/26,Promotion,,Bourke Street
Perfect Fruit,2015/03/26,2015/03/28,Promotion,,Queensbridge Square
Season Launch,2015/03/27,2015/03/27,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street, Queensbridge Square , Southbank Spillway , Bourke St Mall - next to Tourism booth, Evan Walker Bridge"
Merchandise Giveaway,2015/03/30,2015/03/30,Promotion,,Queensbridge Square
3AW Good Friday Appeal,2015/03/30,2015/03/30,Promotion,,Bourke St Mall - next to Tourism booth
Good Friday Appeal MFB/CFA Relay,2015/04/02,2015/04/02,Promotion,,Bourke St Mall - next to Tourism booth
Smooch A Pooch,2015/04/04,2015/04/04,Promotion,,Queensbridge Square
Travel Happy,2015/04/07,2015/04/14,Promotion,,"Queensbridge Square , Promotional Sites"
Beyondblue National Roadshow,2015/04/09,2015/04/09,Promotion,,Bourke St Mall - next to Tourism booth
Galaxy Launch,2015/04/10,2015/04/10,Promotion,,"Bourke Street, Flinders St Station"
Sikhs And Sikhism,2015/04/14,2015/04/14,Promotion,,Flinders St Station
Anzac Wall,2015/04/23,2015/04/25,Promotion,,Queensbridge Square
Repetto Fragrance,2015/04/24,2015/04/24,Promotion,,Bourke Street
National Pretzel Day,2015/04/26,2015/04/26,Promotion,,Southbank Spillway
Dogs Unite Walk,2015/04/28,2015/05/01,Promotion,,"Flinders St Station, Parliament Station, Bourke St Mall - next to Tourism booth"
Australian Alpacas Celebrate 25Years,2015/04/30,2015/04/30,Promotion,,City Square
La Zuppa,2015/04/30,2015/05/08,Promotion,,Southbank Spillway
Free Comic Book Day,2015/05/02,2015/05/02,Promotion,,Bourke Street
Australia's Biggest Morning Tea,2015/05/05,2015/05/05,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street"
Latina RTE Pasta,2015/05/05,2015/05/05,Promotion,,Queensbridge Square
Coffee Club Reconnection,2015/05/06,2015/05/06,Promotion,,Spencer Street
Riverside Quay Place Renewal PopUps,2015/05/07,2015/05/17,Promotion,,"Inner Suburb Locations, Southbank Spillway"
Disney The Lion King,2015/05/15,2015/05/15,Promotion,,Queensbridge Square
Member Drive,2015/05/18,2015/06/17,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street, Queensbridge Square , Promotional Sites"
Australia's Biggest Morning Tea,2015/05/20,2015/05/20,Promotion,,Bourke St Mall - next to Tourism booth
The Big Breakfast,2015/05/28,2015/05/28,Promotion,,"City Square, Flinders St Station"
Mount Baw Baw Winter SeasonLaunch,2015/06/02,2015/06/02,Promotion,,Queensbridge Square
Melbourne Metro,2015/06/03,2015/06/05,Promotion,,"City Square, Bourke St Mall - next to Tourism booth"
Bupa June Campaign,2015/06/04,2015/06/04,Promotion,,Melbourne Central Station - Swanston Street
Men's Month Shopping Night,2015/06/04,2015/06/04,Promotion,,Bourke Street
Elizabeth Arden,2015/06/11,2015/06/27,Promotion,,Bourke Street
Cinderella,2015/06/12,2015/06/12,Promotion,,Bourke St Mall - next to Tourism booth
Membership Drive,2015/06/15,2015/06/19,Promotion,,"City Square, Queensbridge Square , Promotional Sites"
Lumo Energy,2015/07/08,2015/07/08,Promotion,,Melbourne Central Station - Swanston Street
Ride 2 Work,2015/07/24,2015/07/29,Promotion,,"Flinders St Station, Queensbridge Square , Promotional Sites"
Chemist Warehouse,2015/07/27,2015/07/27,Promotion,,"Bourke Street, Elizabeth Street, Bourke St Mall - next to Tourism booth"
7-Eleven Coffee,2015/08/03,2015/08/03,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street, Evan Walker Bridge"
Myer Cosmetics Brand Activation,2015/08/07,2015/08/07,Promotion,,Bourke Street
Brain Injury Matters,2015/08/17,2015/08/20,Promotion,,Bourke St Mall - next to Tourism booth
Myer / Jack & Jones Product Launch,2015/08/21,2015/08/21,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
Garden Of Hope,2015/08/27,2015/08/31,Promotion,,Southbank Spillway
Worksafe's Workplace SafetyAwareness Campaign,2015/08/31,2015/09/01,Promotion,,"Parliament Station, Evan Walker Bridge"
Bicycle Network Annual MemberDrive,2015/09/01,2015/10/31,Promotion,,"Inner Suburb Locations, Flinders St Station, Melbourne Central Station - Swanston Street, Queensbridge Square , Promotional Sites"
2015 Piggy Bank Appeal Launch,2015/09/01,2015/09/01,Promotion,,Bourke St Mall - next to Tourism booth
Girls' Night In,2015/09/02,2015/09/02,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street"
2nd Annual Melbourne FirefighterStair Climb,2015/09/04,2015/09/04,Promotion,,"Flinders St Station, Queensbridge Square"
Emm Does Mm,2015/09/05,2015/09/05,Promotion,,Southbank Spillway
Think Positive Think Islam,2015/09/06,2015/09/13,Promotion,,"Flinders St Station, Bourke St Mall - next to Tourism booth"
Women's Health Week,2015/09/07,2015/09/07,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street"
Ride2work Activation,2015/09/11,2015/09/18,Promotion,,"Queensbridge Square , Promotional Sites"
Sparkling Coffee,2015/09/14,2015/09/18,Promotion,,Flinders Street
Ring Your Bell,2015/09/15,2015/10/15,Promotion,,Flinders St Station
Plan International,2015/09/18,2015/09/18,Promotion,,Southbank Spillway
Victoria's Secret,2015/09/19,2015/09/19,Promotion,,Melbourne Central Station - Swanston Street
Event - University Of Melbourne Activation,2015/09/26,2015/09/26,Promotion,,"Queensbridge Square , Southbank Spillway"
Sweet Fest Van,2015/09/29,2015/09/29,Promotion,,Queensbridge Square
Pop Up Tea Party,2015/09/30,2015/09/30,Promotion,,Bourke St Mall - next to Tourism booth
I Am Juicy Couture,2015/10/01,2015/10/03,Promotion,,Bourke Street
Smoke-free Areas EducationCampaign,2015/10/05,2015/10/10,Promotion,,"Block Place, Equitable Place, Howey Place, The Causeway, City Square"
Urban Heat Island,2015/10/11,2015/10/12,Promotion,,Bourke St Mall - next to Tourism booth
Spring Racing Shopping Night,2015/10/15,2015/10/15,Promotion,,Bourke Street
Awareness Campaign - Have YouMet Bobby?,2015/10/22,2015/10/22,Promotion,,Parliament Station
Mrp Promotional Sampling Campaign,2015/10/22,2015/10/22,Promotion,,Flinders St Station
Hop For Hope,2015/10/26,2015/10/26,Promotion,,Bourke St Mall - next to Tourism booth
Spc The Perfect Fruit,2015/10/27,2015/11/18,Promotion,,"Queensbridge Square , Southbank Spillway"
Vitasoy Food Truck 'Tasty Way ToStart Your Day',2015/10/28,2015/10/28,Promotion,,Southbank Spillway
Wake Up Rosie,2015/10/29,2015/10/29,Promotion,,City Square
Tag Heuer Interactive Chalk ArtDisplay,2015/10/30,2015/10/30,Promotion,,Queensbridge Square
We Stand As One,2015/10/31,2015/10/31,Promotion,,Evan Walker Bridge
Shuji Sushi Summer 2015 Promo,2015/11/02,2015/11/16,Promotion,,"Flinders St Station, Parliament Station, Queensbridge Square"
Ceca,2015/11/07,2015/11/07,Promotion,,Flinders St Station
Mfc Marketing Project,2015/11/12,2015/11/12,Promotion,,Bourke St Mall - next to Tourism booth
Choose Australian Made RecycledPaper,2015/11/13,2015/11/13,Promotion,,Bourke St Mall - next to Tourism booth
Media Launch For Pnda AwarenessWeek,2015/11/17,2015/11/17,Promotion,,Bourke St Mall - next to Tourism booth
Storyboard For Breast CancerResearch,2015/11/20,2015/11/20,Promotion,,Queensbridge Square
Mini Golf Fundraiser For ReachFoundation,2015/11/20,2015/11/20,Promotion,,Southbank Spillway
World Aids Day Activities,2015/11/28,2015/12/01,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street, Queensbridge Square , Bourke St Mall - next to Tourism booth, Evan Walker Bridge"
Mercedes Benz Club Vehicle Display,2015/11/29,2015/11/29,Promotion,,Southbank Spillway
International Day Of People WithDisability,2015/12/03,2015/12/03,Promotion,,"Flinders Street, Flinders St Station"
Tic Tac,2015/12/09,2015/12/09,Promotion,,Flinders St Station
Child Sponsorship & Child Rescue,2015/12/22,2015/12/23,Promotion,,Bourke St Mall - next to Tourism booth
Boxing Day Pre-trade Entertainment,2015/12/26,2015/12/26,Promotion,,Bourke Street
Sweeten Your Summer With EqualNext,2016/01/06,2016/01/06,Promotion,,Queensbridge Square
Aw16 Melbourne Model Castings,2016/01/12,2016/01/12,Promotion,,Bourke Street
Bulla Vintage Ice Cream Van,2016/01/18,2016/02/16,Promotion,,"Parliament Station, Queensbridge Square , Southbank Spillway"
Andra Drag Racing,2016/01/20,2016/01/20,Promotion,,Queensbridge Square
Heidi Klum Public Event,2016/01/27,2016/01/27,Promotion,,Bourke Street
Lock In The Love,2016/02/10,2016/02/15,Promotion,,Queensbridge Square
World's Greatest Shave PromotionalEvent,2016/02/10,2016/02/10,Promotion,,Bourke St Mall - next to Tourism booth
Help Rob The Frog Find Love,2016/02/14,2016/02/14,Promotion,,"Flinders St Station, Piazza Italia , Southbank Spillway , Bourke St Mall - next to Tourism booth, Evan Walker Bridge"
Nova 100 Rent A Crowd At ChinaBar,2016/02/19,2016/02/19,Promotion,,Swanston Street
Melbourne Quarter & Code BlackCoffee Cart,2016/03/08,2016/03/12,Promotion,,Flinders St Station
Promotions - Heinz Creationz,2016/03/08,2016/03/08,Promotion,,Southbank Spillway
The Look Tac,2016/03/09,2016/03/14,Promotion,,"City Square, Southbank Spillway"
Wagyu One Grand OpeningCeremony,2016/03/10,2016/03/11,Promotion,,Bourke Street
Vamff At Myer,2016/03/11,2016/03/11,Promotion,,Bourke Street
Share Our Streets,2016/03/15,2016/03/24,Promotion,,"Southbank Spillway , Promotional Sites"
2016 Australian F1 Grand Prix,2016/03/17,2016/03/22,Promotion,,Elizabeth Street
Child Fund Australia,2016/03/18,2016/03/18,Promotion,,Flinders St Station
World Down Syndrome Day,2016/03/18,2016/03/18,Promotion,,"City Square, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street, Southbank Spillway"
Good Friday Appeal 14hr Relay,2016/03/24,2016/03/24,Promotion,,Bourke St Mall - next to Tourism booth
Mfc Marketing Project,2016/03/25,2016/03/25,Promotion,,Flinders St Station
Premier's Active April,2016/03/29,2016/04/01,Promotion,,Flinders St Station
Promotion - Tour De Cure Ride For Charity,2016/04/02,2016/04/02,Promotion,,Bourke St Mall - next to Tourism booth
Tracky Dack Day - Fashion Police,2016/04/07,2016/04/08,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street"
Nova 100's Browny Points,2016/04/07,2016/04/07,Promotion,,Southbank Spillway
Good For Footy Raffle,2016/04/13,2016/04/13,Promotion,,Queensbridge Square
World Records Store Day,2016/04/16,2016/04/16,Promotion,,"Flinders Street, Degraves Street"
World Vision Australia,2016/04/18,2016/04/24,Promotion,,Bourke St Mall - next to Tourism booth
Look Good Feel Better,2016/04/22,2016/04/22,Promotion,,"Queensbridge Square , Southbank Spillway"
World Vision Australia,2016/04/26,2016/07/17,Promotion,,"City Square, Southbank Spillway , Bourke St Mall - next to Tourism booth, Evan Walker Bridge"
Australia's Biggest Morning Tea FreeTea Packs,2016/04/27,2016/04/27,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street"
Tyrrell's Tractor Activation,2016/04/30,2016/04/30,Promotion,,"Queensbridge Square , Piazza Italia , Southbank Spillway"
Promotion - Child Fund Australia,2016/05/02,2016/05/06,Promotion,,Bourke St Mall - next to Tourism booth
Media Launch Kowledge Week,2016/05/02,2016/05/02,Promotion,,Heape Court
Starlight Day,2016/05/06,2016/05/06,Promotion,,City Square
H & M Home Activation,2016/05/10,2016/05/15,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
Pop Up Media Event,2016/05/10,2016/05/10,Promotion,,"Queensbridge Square , Bourke St Mall - next to Tourism booth"
The Economist - Experiential,2016/05/12,2016/05/12,Promotion,,Southbank Spillway
Myer Denim Promotion,2016/05/12,2016/05/12,Promotion,,Bourke Street
Mfc Marketing Mid Year Promotion,2016/05/13,2016/08/05,Promotion,,"Flinders St Station, Southbank Spillway , Bourke St Mall - next to Tourism booth"
Buro Magazine Sampling,2016/05/18,2016/05/19,Promotion,,Flinders St Station
Continental Sensations Sampling,2016/05/19,2016/05/24,Promotion,,"Queensbridge Square , Southbank Spillway , Promotional Sites"
65 Roses / Bourke St Mall,2016/05/27,2016/05/28,Promotion,,"City Square, Bourke St Mall - next to Tourism booth"
National Reconciliation Week,2016/05/27,2016/05/27,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Elizabeth Street, Queensbridge Square , Southbank Spillway"
Child Fund Australia,2016/05/30,2016/06/30,Promotion,,Bourke St Mall - next to Tourism booth
New Coles Jingle,2016/06/03,2016/06/03,Promotion,,Queensbridge Square
Matildas Farewell/rio Olympics SendOff,2016/06/05,2016/06/05,Promotion,,City Square
A Snag-a-thon For Siv,2016/06/09,2016/06/09,Promotion,,Queensbridge Square
Nutella Road Trip,2016/06/27,2016/06/27,Promotion,,Queensbridge Square
Bicycle Network Votebike Promotion,2016/06/29,2016/06/29,Promotion,,"City Square, Queensbridge Square"
Footy Colours Day,2016/07/01,2016/07/01,Promotion,,"City Square, Flinders St Station"
Coles Pizza Truck,2016/07/04,2016/07/12,Promotion,,Queensbridge Square
Be A Souperhero,2016/07/06,2016/07/06,Promotion,,Parliament Station
Myer Product Launch,2016/07/09,2016/07/09,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
OFX Tour De France,2016/07/14,2016/07/14,Promotion,,Queensbridge Square
Priceline NYX Product Launch,2016/07/16,2016/07/16,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
O&G Breakfast Bar,2016/07/21,2016/07/21,Promotion,,Southbank Spillway
Juventus Icc Activation,2016/07/24,2016/07/24,Promotion,,"Queensbridge Square , Piazza Italia"
Cupcake Day Activation,2016/07/29,2016/07/29,Promotion,,City Square
Kettle Chip Roadshow,2016/07/29,2016/07/29,Promotion,,Queensbridge Square
World Hepatitis Day,2016/07/30,2016/07/30,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street"
Friskies Sampling,2016/07/31,2016/08/12,Promotion,,"Queensbridge Square , Southbank Spillway"
Small Business Festival VictoriaSapling Giveawa,2016/08/02,2016/08/03,Promotion,,Bourke Street
Choc Pop Activations 1,2016/08/05,2016/08/19,Promotion,,"Parliament Station, Southbank Spillway , Evan Walker Bridge"
World Vision Australia,2016/08/05,2016/08/22,Promotion,,Bourke St Mall - next to Tourism booth
Michael Hill Jeweller Launch,2016/08/12,2016/08/14,Promotion,,Bourke Street
Cotton On Bourke Street StoreOpening,2016/08/18,2016/08/21,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
World Vision Australia,2016/09/01,2016/09/29,Promotion,,"Flinders St Station, Queensbridge Square , Southbank Spillway"
Choctober,2016/09/02,2016/09/02,Promotion,,Southbank Spillway
Western Distributor Project,2016/09/05,2016/09/19,Promotion,,"Inner Suburb Locations, Promotional Sites, All Other Spaces"
Daily Debrief Co Giveaways,2016/09/06,2016/09/06,Promotion,,Flinders St Station
Coca Cole Lift Drink Sample,2016/09/16,2016/09/23,Promotion,,"Flinders St Station, Queensbridge Square"
Benefit Browzam Sampling,2016/09/22,2016/09/22,Promotion,,Bourke Street
Childfund Australia Promotion,2016/09/26,2016/12/23,Promotion,,"Flinders St Station, Southbank Spillway , Bourke St Mall - next to Tourism booth"
Ovi Hydration - Watermelon Water,2016/09/27,2016/10/17,Promotion,,"Queensbridge Square , Southbank Spillway"
Girls' Night In Promotion,2016/09/28,2016/09/28,Promotion,,"Flinders St Station, Parliament Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street"
World Vision Australia,2016/10/04,2016/10/25,Promotion,,"Queensbridge Square , Southbank Spillway"
Hands Across The Water Bike - A-Thon,2016/10/07,2016/10/07,Promotion,,City Square
Ikea Catalogue Sampling Activation,2016/10/11,2016/10/11,Promotion,,Queensbridge Square
RESPECT Exhibition,2016/10/12,2016/10/23,Promotion,,"City Square, Southbank Spillway"
Spring Racing Shopping Night,2016/10/13,2016/10/13,Promotion,,"Bourke Street, Bourke St Mall - next to Tourism booth"
21st Birthday,2016/10/13,2016/10/25,Promotion,,Bourke Street
B Active With Bfree,2016/10/14,2016/10/14,Promotion,,Queensbridge Square
Diwali Dancers,2016/10/20,2016/10/20,Promotion,,"City Square, Bourke St Mall - next to Tourism booth"
Proud & Punch Sampling,2016/10/21,2016/10/21,Promotion,,Queensbridge Square
Asia Pacific Group,2016/10/22,2016/10/22,Promotion,,Flinders St Station
Breastscreen Awareness,2016/10/24,2016/10/24,Promotion,,Bourke St Mall - next to Tourism booth
How Flexible Are You?,2016/10/27,2016/10/27,Promotion,,City Square
National Bandanna Day,2016/10/28,2016/10/28,Promotion,,"Flagstaff Gardens, City Square"
Man Made Meat,2016/10/28,2016/10/28,Promotion,,Southbank Spillway
Made Possible By Melbourne,2016/11/01,2016/11/03,Promotion,,"City Square, Flinders St Station, Queensbridge Square , Bourke St Mall - next to Tourism booth"
Plan International Promotion,2016/11/03,2016/12/23,Promotion,,"Flinders St Station, Bourke St Mall - next to Tourism booth, Evan Walker Bridge"
World Vision Australia,2016/11/03,2016/11/10,Promotion,,Flinders St Station
Nkl Launch,2016/11/04,2016/11/04,Promotion,,City Square
Nova100 And Praise,2016/11/05,2016/11/05,Promotion,,Southbank Spillway
The Climatarian Challenge AppLaunch,2016/11/12,2016/11/12,Promotion,,Queensbridge Square
Breakfast On Blue Dinosaur,2016/11/17,2016/11/17,Promotion,,Flinders St Station
7 Eleven Product Launch,2016/11/22,2016/11/23,Promotion,,"Flinders St Station, Melbourne Central Station - Swanston Street"
Simply Cups: Disruptive InnovationFor Recycling,2016/11/25,2016/11/25,Promotion,,"Parliament Station, Melbourne Central Station - Swanston Street, Melbourne Central Station - Elizabeth Street, Southbank Spillway"
Felix: Cat-a-thon,2016/11/26,2016/11/26,Promotion,,Queensbridge Square
Australian Open Installation,2016/12/11,2016/12/18,Promotion,,Queensbridge Square
Free Gift Wrapping,2016/12/12,2016/12/23,Promotion,,Bourke Street
Promotion - Ikea Christmas Activation,2016/12/15,2016/12/15,Promotion,,Southbank Spillway
Maryborough Highland Gathering,2016/12/17,2016/12/17,Promotion,,"Flinders St Station, Bourke St Mall - next to Tourism booth"
